"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","页面网址","页面标题","采集时间"
"j***心","京享值6408","star5","京东值得信赖    一如既往的好    安装师傅也非常客气","2017-12-14 11:34","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:32.1674994"
"真***包","PLUS会员","star5","非常好，洗了很舒服","2018-01-24 18:02","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:32.2015203"
"j***4","京享值8369","star5","刚刚装好，还没使用，很期待使用效果","2018-02-08 17:56","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:34.6861144"
"j***n","京享值3183","star5","此用户未填写评价内容","2018-03-02 18:12","1","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:34.7121314"
"j***7","京享值3482","star5","机子装好了，麻烦师傅了，装了一下午，给师傅好评。","2017-12-07 16:22","1","1","[购买5天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:34.7381494"
"o***o","京享值10436","star5","大品牌值得信赖，不错，值得好评！","2018-02-15 21:50","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:34.7631661"
"3***楠","京享值2592","star5","安装好了，很漂亮，也好用！就是安装费有些贵！?207元！","2017-11-21 09:57","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:34.8091954"
"j***k","京享值9902","star5","热水器不错，外观也好看，案装师傅案装的也到位，挺满意。","2017-12-19 23:16","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:34.8362131"
"j***c","京享值4736","star5","东西还不错哦！安装也好！服务周到！","2018-01-16 10:49","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:34.8652337"
"J***l","京享值12192","star5","还没试，不知道怎么样，试试再说~","2018-02-14 10:20","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:34.8952547"
"爱***Y","PLUS会员","star5","没得挑 确实好按装的师傅也非常给力","2017-12-18 00:04","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:34.9282756"
"V***9","京享值12380","star5","第一次买美的热水器，即便宜又好用。","2018-01-11 18:22","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:34.9602970"
"j***v","京享值1469","star5","物流快，货物完整，安装工联系及时，安装的也很好，非常满意","2017-11-28 18:59","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:37.3874874"
"1***p","京享值4410","star5","还可以，就是刚开始热水很慢，以后在追评，安装师傅态度很好","2017-11-27 18:45","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:37.4125041"
"j***a","京享值1707","star5","挺精致的啦，安装师傅90后，晚上9点多还在安装","2017-11-23 16:46","1","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:37.4425250"
"企***人","PLUS会员","star5","已安装上了，优惠价格秒杀的*","2017-11-06 17:40","1","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:37.4675421"
"闹***3","京享值4056","star5","给家里买的 挺好用的 没在家 安装的很好","2017-10-22 10:00","2","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:37.4925573"
"j***o","PLUS会员","star5","用了一个月了，还未发现异常","2018-03-03 01:09","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:37.5215767"
"低***熊","京享值2831","star5","安装材料费116，效果还不错","2018-02-15 07:29","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:37.5505964"
"荣***少","京享值3450","star5","双11下的单，送货慢了点但可以理解，安装的师傅态度也不错","2017-11-18 19:52","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:37.5856207"
"谭***辉","京享值15966","star5","很好用，价格好，又漂亮下次再买","2018-01-29 22:02","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:37.6186412"
"杰***同","京享值5712","star5","非常好?，高端大气，还没有使用洗澡，到货快，安装好","2017-12-15 14:20","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:37.6506626"
"林***果","京享值5590","star5","刚刚安装好，待用过之后再评价","2018-02-07 10:57","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:40.1097830"
"z***8","PLUS会员","star5","不错，加热也快，外观大气上档次。","2017-12-05 08:54","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:40.1418044"
"jd_158747qvq","京享值3061","star5","值得信任  美的  好用","2018-03-01 11:58","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:40.1678223"
"z***0","京享值10600","star5","第二次购买，自己安装很简单，省了200*","2017-12-16 19:01","1","0","[购买4天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:40.2008447"
"j***x","京享值8797","star5","刚安上开始使用，感觉还不错","2018-02-10 12:28","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:40.2258614"
"j***p","京享值14662","star5","产品看着很好，还没用，都是新的……………大品牌值得信赖！！！！！！","2018-01-08 19:11","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:40.2578828"
"j***w","京享值11465","star5","刚安装好，外观美丽，暂时没有用，后期情况再及时反映","2017-12-07 10:27","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:40.2859012"
"wt881128","京享值3215","star5","非常好，送货上门，安装到位","2018-02-02 13:00","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:40.3199231"
"j***1","京享值3607","star5","用过之后才来评价，质量过关。","2018-01-16 20:40","0","0","[购买4天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:40.3499440"
"样***1","京享值4430","star5","产品值的信懶，杠杠滴好。","2018-02-13 16:56","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:40.3859681"
"留***方","京享值2903","star5","此用户未填写评价内容","2018-03-04 11:02","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:42.9762923"
"牟文泽","京享值5443","star5","快递超级快，服务这很好，","2018-01-31 19:23","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:42.9993091"
"锟***儿","京享值2028","star5","东西很好！买的很划算安装很满意美的售后服务很好?","2017-11-18 10:26","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:43.0263269"
"j***o","京享值6889","star5","此用户未填写评价内容","2018-02-28 16:30","0","0","[购买8天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:43.0713564"
"j***k","京享值4502","star5","东西不错，挺好的我给5星服务小哥态度很好我给满分","2017-11-30 20:08","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:43.1053791"
"好***L","京享值1464","star5","非常好，送品质，送货，到安装一流的服务，非常满意！","2017-11-14 07:17","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:43.1333972"
"j***s","京享值8433","star5","相信美的品牌，物流很快，当天下单第二天就到，唯一遗憾的是安装服务态度相当差，由于接近年底，安装师傅推三倒四，他说要用什么材料安装我说都可以，可是他说年底时间很紧怎么怎么的，不肯过来（有点要加工钱的意思，虽然没说出来，但就是有那个意思），到货之后是约定好说可以装的，由于跟安装师傅的矛盾，后来我就自己装了，太让我失望了……","2018-02-17 18:01","1","1",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:43.1614160"
"j***r","京享值12252","star5","热水器到了，哈哈很高兴，今年的冬天不用热得快了！","2017-11-25 18:48","0","0","[购买16天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:43.1914363"
"魅***Y","京享值2878","star5","用了效果很好，烧水速度快，送货快安装快，很满意！","2017-11-17 19:53","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:43.2244584"
"r***9","京享值18681","star5","还不错，就是我家线要重牵，承受不了2000W的。50升冬天洗头洗澡只能一个人洗。","2018-02-12 11:31","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:43.2614828"
"j***s","京享值1761","star5","物流快、安装也快，一到货就过来安装???","2017-11-30 12:45","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:45.8082098"
"3***6","京享值897896","star5","送货快，服务好安装快挺漂亮。","2017-11-13 22:19","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:45.8342263"
"尐***氿","京享值18834","star5","不错，帮哥哥家买的，","2018-02-09 13:46","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:45.8582429"
"j***4","京享值14171","star5","美的品牌就是好支持美的","2018-01-25 15:51","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:45.8822596"
"小***2","京享值8197","star5","热水器收到并安装好了，特意用了几天才来评价的，物流太快了，当天就到了，安装师傅第二天就给安装好了，只收了配件的费用，使用很方便，足够一家三口使用的","2018-01-28 14:17","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:45.9082767"
"y***宝","京享值3241","star5","此用户未填写评价内容","2018-02-03 12:23","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:45.9352953"
"W***g","京享值7506","star5","有条透明水管漏水，自己安装的。","2017-12-22 13:50","1","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:45.9673155"
"方***a","京享值10015","star5","开始安装，物流真快。","2018-01-18 14:37","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:45.9983365"
"刘***h","京享值1875","star5","东西收到了，挺好！","2018-02-13 18:11","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:46.0273568"
"j***j","京享值1765","star5","不错?支持国产品牌，高大上，全程自己安装，就避免了乱收费，我可以告诉大家一个方法，可以自己动手安装，就在京东买这种四分的不锈钢管，想怎样装就怎样装，要几米买几米，方便实用，我的买长了，买个三米就足以，买了六米，晕死，大家买的东西一点要量一下，又好看又实用","2018-02-13 14:46","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:46.0583782"
"j***m","京享值14023","star5","宝贝已安装OK,实用效果非常不错，可以用3~4人，使用方便带遥控器，美的的牌子值得信赖，一直都用美的的电器产品，","2017-11-21 11:19","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:48.6563844"
"j***c","京享值10972","star5","啥都不说，就看效果","2018-02-02 17:27","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:48.6824015"
"j***8","京享值7323","star5","美观，干净，安全，节能，好用，美的出品好。","2017-11-18 23:26","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:48.7164242"
"只***爷","PLUS会员","star5","一直信任京东。质量不错，送货很快，服务很好！ 太漂亮，大气，档次高，超喜欢。 上午下单，下午到家速度啊！看着还行 货品不错，装了实用。质量可以。是值得购买 不错不错不错！！！！！，挺喜欢的，这个用的好，还要买多几个。 物美价廉，用着看看吧，免去市场购物之劳 ，推荐答案 我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少95分以上， 宝贝收到了，非常喜欢，质量很好，卖家热情，物流给力，非常愉快的一次购物，好评！","2017-12-18 14:38","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:48.7404412"
"3***磊","京享值13634","star5","非常喜欢，质量很好，以后还会买的。","2017-12-22 09:08","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:48.7664576"
"一***黎","京享值37589","star5","质量还不错，售后安装要了180，能接受","2017-11-18 13:31","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:48.7934757"
"Y***5","京享值2161","star5","刚收到，还行，装起来就知道好不好了?","2017-11-16 15:00","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:48.8214935"
"随***z","京享值11917","star5","用了一段时间感觉挺好的，毕竟是大品牌，刚开始买的海尔的退了又买的这款","2018-03-01 08:11","0","0","[购买23天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:48.8505141"
"朝***0","京享值3198","star5","挺好用，位置刚刚好。一点都不浪费空间","2017-11-22 21:22","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:48.8825355"
"j***v","京享值2851","star5","挺不错的，上档次，用了再来追加评论","2017-11-25 12:15","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:48.9145566"
"功***3","京享值5911","star5","服务很好，使用以后会再次追评，","2017-12-16 14:50","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:51.4924296"
"j***3","京享值6430","star5","美的大品牌，价格实惠，保温效果好。","2017-11-14 09:01","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:51.5174454"
"西***青","京享值10607","star5","性价比不错，外观设计的不错","2017-12-29 08:14","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:51.5414623"
"A***9","京享值11662","star5","售后安装服务很满意   赞赞赞","2017-12-12 20:16","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:51.5664803"
"j***3","京享值2100","star5","用了一段时间了 可以 同时推荐的","2017-11-27 19:23","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:51.5914967"
"凌***宇","PLUS会员","star5","保温效果也好?品牌的就是省电","2017-12-11 10:28","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:51.6175144"
"j***3","京享值9338","star5","用了几天还不错，大品牌值得信赖","2017-11-28 20:19","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:51.6535387"
"j***p","京享值33415","star5","安装师傅服务非常好，贴心服务…","2017-12-14 18:21","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:51.6835573"
"j***k","京享值7536","star5","发货周期長了点，但总算还满意。","2017-11-23 08:35","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:51.7145792"
"z***9","PLUS会员","star5","物流速度快，安装师傅师傅非常好，安装很专业！","2018-02-04 14:42","0","1","[购买3天后追评]",,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:51.7455990"
"首***我","PLUS会员","star5","不错已经收到了，想购物上京东","2017-11-18 19:21","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:54.1503579"
"M***兽","京享值4005","star5","产品好，帅哥服务态度好，","2017-12-16 13:53","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:54.1753764"
"丫***头","京享值8902","star5","很不错哦，值得购买，烧水很快","2017-11-13 18:57","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:54.2053944"
"鹏***6","京享值8979","star5","款式很喜欢好用服务好好好","2017-11-27 23:36","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:54.2314120"
"j***a","京享值3899","star5","这次的东西都比较满意","2017-12-24 02:08","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:54.2664370"
"j***v","京享值1244","star5","货到了，没有安装师傅上门","2017-11-22 08:24","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:54.2964555"
"h***2","京享值17697","star5","安装好了，谢谢师傅！","2017-12-06 20:17","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:54.3244748"
"惠***哥","京享值2297","star5","很不错，水温很合适满意","2017-11-19 19:43","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:54.3564956"
"j***4","京享值6934","star5","双十一抢购，相信美的","2017-11-27 21:39","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:54.3865157"
"j***b","京享值5985","star5","美的热水器很棒！加热快，有遥控、预约功能非常方便。","2018-02-18 22:11","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:54.4185368"
"131*****690zxl","京享值4811","star5","先不说质量好不好，服务态度是实体店比不上的！信任京东，继续支持。来说一下质量，空调启动的时候声音很小，制冷很快，并且可以连wifi挺好的！！！","2017-06-06 16:15","1","0","[购买5天后追评]","不好意思发错了，补发！","https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:56.9135583"
"s***i","京享值3901","star5","热水器回来第二天安装师傅就来给安装了，服务态度很好，还指导怎么使用，一切正常，还没用，用过后再评价。","2018-03-02 14:10","0","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:56.9385747"
"彤***4","京享值588","star5","用过才来评价，热水器不错，夏天4 5口人同时晚上洗也够用，加热也满快的，白天不用可以中温保温，物流也满快，安装师傅也挺认真，让他简装冷热水管安装材料才一百快，总之现在用着挺满意，希望机器会耐用就OK","2015-06-15 11:37","5","0",,,"https://item.jd.com/1106432.html#comment","【美的15WB5】美的（Midea）60升预约洗浴 无线遥控 电热水器 F60-15WB5(Y)【行情 报价 价格 评测】-京东","2018-03-12 21:16:56.9645921"
